State,ACS Locations,AT&T Locations,CenturyLink Locations,FairPoint Locations,Frontier Locations,Hawaiian Locations,PRTC,Windstream Locations,Total Locations,Total Dollar Support
AK,316,0,0,0,0,0,0,0,316,173800
AL,0,27822,4599,0,1223,0,0,4074,37718,27063353
AR,0,5213,6238,0,0,0,0,19342,30793,18222247
AZ,0,0,8744,0,11016,0,0,0,19760,12696840
CA,0,0,0,0,1189,0,0,0,1189,712897
CO,0,0,8976,0,0,0,0,0,8976,5155275
CT,0,0,0,0,0,0,0,0,0,0
DC,0,0,0,0,0,0,0,0,0,0
DE,0,0,0,0,0,0,0,0,0,0
FL,0,2674,2321,390,929,0,0,3979,10294,6455989
GA,0,3320,0,0,7,0,0,49401,52728,30259496
HI,0,0,0,0,0,1317,0,0,1317,1020675
IA,0,0,828,0,1898,0,0,10046,12772,7292115
ID,0,0,4369,0,878,0,0,0,5247,3057888
IL,0,0,0,0,5077,0,0,0,5077,3140633
IN,0,0,146,0,7661,0,0,0,7807,4617804
KS,0,0,185,163,0,0,0,0,348,215925
KY,0,3173,0,0,0,0,0,16937,20110,11871050
LA,0,6686,3040,0,0,0,0,0,9726,6857882
MA,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0
ME,0,0,0,1659,0,0,0,0,1659,1034850
MI,0,0,48,0,5040,0,0,0,5088,3057542
MN,0,0,5096,0,1506,0,0,0,6602,3991764
MO,0,3796,3500,0,0,0,0,6959,14255,8988527
MS,0,20897,363,0,0,0,0,5212,26472,19509846
MT,0,0,7231,0,0,0,0,0,7231,4297225
NC,0,3150,1420,0,2642,0,0,28260,35472,20950161
ND,0,0,20,0,0,0,0,0,20,11000
NE,0,0,952,0,0,0,0,2518,3470,1979600
NH,0,0,0,1470,0,0,0,0,1470,848100
NJ,0,0,60,0,0,0,0,0,60,33000
NM,0,0,2781,0,2623,0,0,3378,8782,5178853
NV,0,0,24,0,500,0,0,0,524,294630
NY,0,0,0,599,17656,0,0,7395,25650,15137932
OH,0,0,964,0,3632,0,0,5184,9780,5957790
OK,0,0,0,0,0,0,0,4418,4418,2785400
OR,0,0,5853,0,538,0,0,0,6391,3742578
PA,0,0,27,64,4716,0,0,15378,20185,11234255
PR,0,0,0,0,0,0,40761,0,40761,31589912
RI,0,0,0,0,0,0,0,0,0,0
SC,0,9565,909,0,0,0,0,4680,15154,10505280
SD,0,0,75,0,0,0,0,0,75,48900
TN,0,41364,1008,0,1313,0,0,0,43685,33349109
TX,0,1371,793,0,0,0,0,30477,32641,20200265
UT,0,0,78,0,665,0,0,0,743,427630
VA,0,0,4863,1122,0,0,0,0,5985,3547575
VT,0,0,0,0,0,0,0,0,0,0
WA,0,0,4700,28,2057,0,0,0,6785,4215125
WI,0,0,12354,0,5462,0,0,0,17816,10146817
WV,0,0,0,0,40756,0,0,0,40756,24106003
WY,0,0,52,0,0,0,0,0,52,34225